     ,T0001,T0002,T0003,T0004,T0005,T0006,T0007,T0008,T0009,T0010,T0011,T0012,T0013,T0014,T0015,T0016,T0017,T0018,T0019,T0020,T0021,T0022,T0023,T0024,T0025,T0026,T0027,T0028,T0029,T0030,T0031,T0032,T0033,T0034,T0035,T0036,T0037,T0038,T0039,T0040,T0041,T0042,T0043,T0044,T0045,T0046,T0047,T0048,T0049,T0050,T0051,T0052,T0053,T0054,T0055,T0056,T0057,T0058,T0059,T0060,T0061,T0062,T0063,T0064,T0065,T0066,T0067,T0068,T0069,T0070,T0071,T0072,T0073,T0074,T0075,T0076,T0077,T0078,T0079,T0080,T0081,T0082,T0083,T0084,T0085,T0086,T0087,T0088,T0089,T0090,T0091,T0092,T0093,T0094,T0095,T0096,T0097,T0098,T0099,T0100,T0101,T0102,T0103,T0104,T0105,T0106,T0107,T0108,T0109,T0110,T0111,T0112,T0113,T0114,T0115,T0116,T0117,T0118,T0119,T0120,T0121,T0122,T0123,T0124,T0125,T0126,T0127,T0128,T0129,T0130,T0131,T0132,T0133,T0134,T0135,T0136,T0137,T0138,T0139,T0140,T0141,T0142,T0143,T0144,T0145,T0146,T0147,T0148,T0149
S0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.650349650349646,0.0,46.5034965034965,0.0,100.0,96.85314685314685,46.5034965034965,46.5034965034965,46.5034965034965,0.0,0.0,49.650349650349646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.650349650349646,0.0,0.0,49.650349650349646,0.0,0.0,49.650349650349646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.650349650349646,49.650349650349646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.34965034965035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.650349650349646,49.650349650349646,0.0,49.650349650349646,0.0,0.0,0.0,0.0,0.0,0.0,49.650349650349646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.650349650349646,46.5034965034965,0.0,0.0,0.0,46.5034965034965,100.0,96.85314685314685,46.5034965034965
S0003,0.0,0.0,0.0,0.0,35.54006968641115,35.54006968641115,0.0,0.0,0.0,0.0,49.12891986062718,49.12891986062718,0.0,0.0,0.0,0.0,46.34146341463415,0.0,50.87108013937282,0.0,46.34146341463415,46.34146341463415,95.47038327526133,50.87108013937282,100.0,0.0,0.0,0.0,0.0,35.54006968641115,71.77700348432056,71.77700348432056,71.77700348432056,71.77700348432056,71.77700348432056,71.77700348432056,71.77700348432056,71.77700348432056,71.77700348432056,71.77700348432056,0.0,35.54006968641115,71.77700348432056,71.77700348432056,71.77700348432056,71.77700348432056,71.77700348432056,71.77700348432056,71.77700348432056,71.77700348432056,71.77700348432056,71.77700348432056,0.0,0.0,0.0,46.34146341463415,0.0,0.0,0.0,0.0,0.0,51.56794425087108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.54006968641115,71.77700348432056,71.77700348432056,71.77700348432056,71.77700348432056,0.0,0.0,36.23693379790941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.54006968641115,71.77700348432056,71.77700348432056,71.77700348432056,71.77700348432056,71.77700348432056,71.77700348432056,71.77700348432056,71.77700348432056,71.77700348432056,71.77700348432056,71.77700348432056,71.77700348432056,0.0,0.0,0.0,0.0,49.12891986062718,49.12891986062718,36.23693379790941,85.36585365853658,0.0,0.0,0.0,0.0,0.0,0.0,46.34146341463415,0.0,0.0,0.0,0.0,0.0,0.0,46.34146341463415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.54006968641115,71.77700348432056,71.77700348432056,71.77700348432056,71.77700348432056,0.0,0.0,0.0,46.34146341463415,46.34146341463415,0.0,0.0,0.0,46.34146341463415,46.34146341463415,46.34146341463415,95.47038327526133
S0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.714285714285715,100.0,51.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.42857142857143,51.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.714285714285715,51.78571428571429,51.78571428571429,0.0,48.57142857142858,0.0,50.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.42857142857143,51.42857142857143,0.0,0.0,0.0,0.0,0.0,50.714285714285715,50.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,51.42857142857143,51.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.57142857142858,50.714285714285715,50.714285714285715,51.78571428571429,0.0,48.57142857142858,0.0,0.0,0.0,0.0,51.78571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.42857142857143,51.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0005,0.0,0.0,0.0,0.0,44.54148471615721,44.54148471615721,0.0,0.0,0.0,0.0,61.57205240174672,61.57205240174672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.57205240174672,55.45851528384279,61.57205240174672,0.0,0.0,0.0,0.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,0.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,0.0,0.0,64.62882096069869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,0.0,0.0,0.0,0.0,61.57205240174672,61.57205240174672,55.45851528384279,61.57205240174672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.57205240174672
S0006,0.0,0.0,0.0,0.0,41.63265306122449,41.63265306122449,0.0,0.0,0.0,0.0,57.55102040816326,57.55102040816326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.55102040816326,42.44897959183673,100.0,0.0,0.0,0.0,0.0,41.63265306122449,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,98.36734693877551,98.36734693877551,0.0,41.63265306122449,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,98.36734693877551,98.36734693877551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.40816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.63265306122449,84.08163265306122,84.08163265306122,98.36734693877551,98.36734693877551,0.0,0.0,42.44897959183673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.63265306122449,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,98.36734693877551,98.36734693877551,0.0,0.0,0.0,0.0,57.55102040816326,57.55102040816326,42.44897959183673,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.63265306122449,84.08163265306122,84.08163265306122,98.36734693877551,98.36734693877551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.55102040816326
S0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.22222222222221,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,47.22222222222222,47.22222222222222,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,47.22222222222222,47.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.22222222222222,47.22222222222222,47.22222222222222,47.22222222222222,0.0,50.0,0.0,0.0,0.0,0.0,47.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0008,0.0,0.0,0.0,0.0,44.54148471615721,44.54148471615721,0.0,0.0,0.0,0.0,61.57205240174672,61.57205240174672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.57205240174672,55.45851528384279,61.57205240174672,0.0,0.0,0.0,0.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,0.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,0.0,0.0,64.62882096069869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,0.0,0.0,0.0,0.0,61.57205240174672,61.57205240174672,55.45851528384279,61.57205240174672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.54148471615721,100.0,44.54148471615721,100.0,44.54148471615721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.57205240174672
S0009,0.0,0.0,0.0,0.0,41.63265306122449,41.63265306122449,0.0,0.0,0.0,0.0,57.55102040816326,57.55102040816326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.55102040816326,42.44897959183673,100.0,0.0,0.0,0.0,0.0,41.63265306122449,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,98.36734693877551,98.36734693877551,0.0,41.63265306122449,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,98.36734693877551,98.36734693877551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.40816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.63265306122449,84.08163265306122,84.08163265306122,98.36734693877551,98.36734693877551,0.0,0.0,42.44897959183673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.63265306122449,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,98.36734693877551,98.36734693877551,0.0,0.0,0.0,0.0,57.55102040816326,57.55102040816326,42.44897959183673,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.63265306122449,84.08163265306122,84.08163265306122,98.36734693877551,98.36734693877551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.55102040816326
S0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.49152542372881,0.0,0.0,0.0,0.0,48.135593220338976,46.101694915254235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.813559322033896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.96610169491525,46.101694915254235,46.101694915254235,0.0,94.91525423728812,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.135593220338976,48.135593220338976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.49152542372881,0.0,0.0,0.0,0.0,46.101694915254235,48.135593220338976,48.135593220338976,46.101694915254235,0.0,94.91525423728812,0.0,0.0,0.0,0.0,46.101694915254235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.49152542372881
S0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,49.140893470790374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.140893470790374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.140893470790374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.140893470790374,0.0,0.0,0.0,49.140893470790374,0.0,0.0,0.0,0.0,0.0
S0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.83018867924528,0.0,0.0,44.52830188679245,44.52830188679245,0.0,0.0,0.0,0.0,44.52830188679245,0.0,44.52830188679245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.52830188679245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.58490566037735,0.0,0.0,0.0,0.0,0.0,99.24528301886792,0.0,0.0,99.24528301886792,98.11320754716981,44.52830188679245,97.35849056603773,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.83018867924528,0.0,0.0,0.0,52.83018867924528,0.0,0.0,97.35849056603773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.35849056603773,44.52830188679245,44.52830188679245,44.52830188679245,0.0,0.0,52.83018867924528,52.83018867924528,44.52830188679245,0.0,0.0,0.0,0.0,0.0,0.0,53.58490566037735,0.0,0.0,53.58490566037735,53.58490566037735,53.58490566037735,0.0,0.0,0.0,99.24528301886792,0.0,0.0,99.24528301886792,98.11320754716981,44.52830188679245,97.35849056603773,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,44.52830188679245,0.0,44.52830188679245,44.52830188679245,44.52830188679245,0.0,0.0,0.0,44.52830188679245,44.52830188679245,0.0
S0013,0.0,0.0,0.0,0.0,36.29893238434164,36.29893238434164,0.0,0.0,0.0,0.0,50.1779359430605,50.1779359430605,0.0,0.0,0.0,0.0,0.0,49.8220640569395,0.0,0.0,0.0,0.0,50.1779359430605,45.195729537366546,50.1779359430605,0.0,0.0,0.0,0.0,36.29893238434164,81.49466192170819,36.29893238434164,81.49466192170819,36.29893238434164,81.49466192170819,36.29893238434164,81.49466192170819,36.29893238434164,81.49466192170819,36.29893238434164,0.0,36.29893238434164,81.49466192170819,36.29893238434164,81.49466192170819,36.29893238434164,81.49466192170819,36.29893238434164,81.49466192170819,36.29893238434164,81.49466192170819,36.29893238434164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.313167259786475,0.0,0.0,36.29893238434164,81.49466192170819,36.29893238434164,81.49466192170819,36.29893238434164,0.0,0.0,49.8220640569395,0.0,0.0,0.0,49.8220640569395,0.0,0.0,49.8220640569395,36.29893238434164,81.49466192170819,36.29893238434164,81.49466192170819,36.29893238434164,81.49466192170819,36.29893238434164,81.49466192170819,36.29893238434164,81.49466192170819,36.29893238434164,81.49466192170819,36.29893238434164,49.8220640569395,0.0,0.0,0.0,50.1779359430605,50.1779359430605,95.01779359430604,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.313167259786475,0.0,0.0,36.29893238434164,81.49466192170819,36.29893238434164,81.49466192170819,36.29893238434164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.1779359430605
S0014,0.0,0.0,0.0,0.0,41.63265306122449,41.63265306122449,0.0,0.0,0.0,0.0,57.55102040816326,57.55102040816326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.55102040816326,42.44897959183673,100.0,0.0,0.0,0.0,0.0,41.63265306122449,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,98.36734693877551,98.36734693877551,0.0,41.63265306122449,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,98.36734693877551,98.36734693877551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.40816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.63265306122449,84.08163265306122,84.08163265306122,98.36734693877551,98.36734693877551,0.0,0.0,42.44897959183673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.63265306122449,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,84.08163265306122,98.36734693877551,98.36734693877551,0.0,0.0,0.0,0.0,57.55102040816326,57.55102040816326,42.44897959183673,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.63265306122449,84.08163265306122,84.08163265306122,98.36734693877551,98.36734693877551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.55102040816326
S0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.45762711864406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.83050847457627,0.0,0.0,0.0,0.0,0.0,0.0,47.45762711864406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,47.45762711864406,0.0,0.0,0.0,47.45762711864406,0.0,0.0,47.45762711864406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.45762711864406,0.0,0.0,0.0,0.0,0.0,47.45762711864406,47.45762711864406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.45762711864406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
